codigo,nome,cnpj_cpf,conta,servico_principal,servicos_adicionais,regime,mensalidade,faturamento_anual,data_inicio,responsavel,nps
CLI-00019,Cliente 19,00.100.000/0001-00,Zov,Legalização,N/A,N/A,7727,6450751,2024-10-16,Maria Santos,2
CLI-00020,Cliente 20,00.100.000/0001-00,Mdias,Legalização,N/A,Lucro Presumido,3297,2318705,2022-02-07,Carlos Souza,3
CLI-00021,Cliente 21,00.100.000/0001-00,Zov,Legalização,N/A,Simples Nacional,5525,7435227,2023-11-24,Ana Silva,4
CLI-00022,Cliente 22,00.100.000/0001-00,Papaya,Legalização,N/A,MEI,9047,325598,2024-06-14,João Silva,1
CLI-00023,Cliente 23,00.100.000/0001-00,Mdias,BPO Financeiro,N/A,Lucro Real,8572,2480923,2022-01-20,Maria Santos,6
CLI-00024,Cliente 24,00.100.000/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,2645,58828,2022-06-07,Ana Silva,2
CLI-00025,Cliente 25,00.100.000/0001-00,Papaya,Contabilidade,Certificado Digital,Simples Nacional,8914,4281757,2023-01-25,Ana Silva,7
CLI-00026,Cliente 26,00.100.000/0001-00,Zov,Contabilidade,BPO Financeiro,N/A,1549,167309,2023-02-22,Maria Santos,3
CLI-00027,Cliente 27,00.100.000/0001-00,Papaya,Certificado Digital,N/A,Lucro Real,6888,3682371,2022-06-27,Carlos Souza,1
CLI-00028,Cliente 28,00.100.000/0001-00,Mdias,Certificado Digital,N/A,MEI,8146,859356,2024-10-02,Maria Santos,7
CLI-00029,Cliente 29,00.100.000/0001-00,Mdias,BPO Financeiro,N/A,Simples Nacional,5542,5398033,2023-02-21,Maria Santos,6
CLI-00030,Cliente 30,00.100.000/0001-00,Zov,Legalização,N/A,MEI,3615,4616438,2022-10-25,Carlos Souza,4
CLI-00031,Cliente 31,00.100.000/0001-00,Papaya,Contabilidade,N/A,Simples Nacional,3893,7170056,2023-05-16,Maria Santos,5
CLI-00032,Cliente 32,00.100.000/0001-00,Mdias,Legalização,N/A,Simples Nacional,7195,7252267,2023-10-27,João Silva,5
CLI-00033,Cliente 33,00.100.000/0001-00,Zov,BPO Financeiro,Contabilidade,Lucro Presumido,2010,5262729,2022-02-14,João Silva,9
CLI-00034,Cliente 34,00.100.000/0001-00,Zov,BPO RH,N/A,MEI,6784,6530798,2024-12-25,João Silva,10
CLI-00035,Cliente 35,00.100.000/0001-00,Mdias,Certificado Digital,N/A,Simples Nacional,8482,1681682,2023-05-28,Maria Santos,3
CLI-00036,Cliente 36,00.100.000/0001-00,Mdias,Legalização,N/A,Lucro Real,3328,1368371,2022-01-21,Ana Silva,9
CLI-00037,Cliente 37,00.100.000/0001-00,Mdias,Certificado Digital,N/A,Lucro Real,8194,3295280,2024-09-12,Ana Silva,7
CLI-00038,Cliente 38,00.100.000/0001-00,Mdias,BPO RH,BPO Financeiro,Lucro Real,1691,3288727,2022-09-16,Maria Santos,1
CLI-00039,Cliente 39,00.100.000/0001-00,Zov,BPO Financeiro,Legalização,Lucro Real,1505,141706,2022-06-26,João Silva,1
CLI-00040,Cliente 40,00.100.000/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,2899,3382913,2022-03-12,João Silva,3
CLI-00041,Cliente 41,00.100.000/0001-00,Zov,BPO RH,N/A,N/A,9004,590551,2023-04-10,Maria Santos,2
CLI-00042,Cliente 42,00.100.000/0001-00,Zov,BPO Financeiro,N/A,MEI,9219,7703899,2024-09-16,Ana Silva,9
CLI-00043,Cliente 43,00.100.000/0001-00,Mdias,Certificado Digital,N/A,Lucro Real,2525,7554462,2022-08-05,Maria Santos,5
CLI-00044,Cliente 44,00.100.000/0001-00,Zov,BPO Financeiro,N/A,MEI,4451,2642695,2022-05-04,Carlos Souza,0
CLI-00045,Cliente 45,00.100.000/0001-00,Mdias,Contabilidade,N/A,MEI,4192,162732,2022-09-11,Maria Santos,4
CLI-00046,Cliente 46,00.100.000/0001-00,Zov,BPO RH,N/A,Lucro Real,5739,2819794,2023-04-08,Carlos Souza,3
CLI-00047,Cliente 47,00.100.000/0001-00,Papaya,BPO RH,BPO Financeiro,MEI,3412,7081878,2023-12-15,João Silva,9
CLI-00048,Cliente 48,00.100.000/0001-00,Zov,Contabilidade,N/A,Simples Nacional,7923,4769331,2022-09-04,Carlos Souza,7
CLI-00049,Cliente 49,00.100.000/0001-00,Mdias,Legalização,N/A,Lucro Presumido,1821,1418916,2024-10-24,Maria Santos,6
CLI-00050,Cliente 50,00.100.000/0001-00,Zov,Legalização,N/A,N/A,8979,5910174,2022-05-07,Maria Santos,9
CLI-00051,Cliente 51,00.100.000/0001-00,Zov,BPO Financeiro,Contabilidade,Lucro Presumido,1755,5453664,2022-03-10,João Silva,5
CLI-00052,Cliente 52,00.100.000/0001-00,Mdias,Certificado Digital,N/A,Simples Nacional,822,6453337,2024-04-26,Carlos Souza,2
CLI-00053,Cliente 53,00.100.000/0001-00,Mdias,Legalização,Certificado Digital,Lucro Real,1420,6087186,2022-08-10,Maria Santos,2
CLI-00054,Cliente 54,00.100.000/0001-00,Papaya,Legalização,N/A,Lucro Presumido,1911,3148753,2023-10-09,Carlos Souza,4
CLI-00055,Cliente 55,00.100.000/0001-00,Papaya,Contabilidade,N/A,Simples Nacional,7313,2865215,2022-02-07,Ana Silva,6
CLI-00056,Cliente 56,00.100.000/0001-00,Mdias,BPO Financeiro,BPO RH,N/A,759,3363333,2022-06-07,João Silva,2
CLI-00057,Cliente 57,00.100.000/0001-00,Zov,BPO Financeiro,N/A,Lucro Presumido,5538,1985993,2022-01-08,Ana Silva,0
CLI-00058,Cliente 58,00.100.000/0001-00,Mdias,Certificado Digital,N/A,MEI,1386,4368822,2024-07-17,Maria Santos,6
CLI-00059,Cliente 59,00.100.000/0001-00,Papaya,Contabilidade,N/A,Lucro Presumido,3979,35152,2022-08-23,Maria Santos,9
CLI-00060,Cliente 60,00.100.000/0001-00,Papaya,Contabilidade,N/A,Lucro Real,7287,4713596,2023-07-28,Ana Silva,8
CLI-00061,Cliente 61,00.100.000/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,812,6463118,2024-11-23,Ana Silva,9
CLI-00062,Cliente 62,00.100.000/0001-00,Zov,Certificado Digital,BPO RH,N/A,8757,1719688,2022-11-28,Carlos Souza,5
CLI-00063,Cliente 63,00.100.000/0001-00,Zov,Contabilidade,N/A,N/A,3433,5398571,2022-11-14,Ana Silva,8
CLI-00064,Cliente 64,00.100.000/0001-00,Zov,Contabilidade,N/A,N/A,4390,595546,2024-08-27,Carlos Souza,3
CLI-00065,Cliente 65,00.100.000/0001-00,Papaya,Contabilidade,N/A,N/A,3171,1089473,2022-07-05,João Silva,9
CLI-00066,Cliente 66,00.100.000/0001-00,Mdias,BPO Financeiro,N/A,MEI,3728,427318,2022-08-04,Maria Santos,4
CLI-00067,Cliente 67,00.100.000/0001-00,Papaya,Certificado Digital,N/A,Lucro Presumido,6266,3777473,2023-01-02,Carlos Souza,7
CLI-00068,Cliente 68,00.100.000/0001-00,Zov,Contabilidade,N/A,Lucro Real,985,6163047,2023-02-14,João Silva,3
CLI-00069,Cliente 69,00.100.000/0001-00,Zov,Certificado Digital,N/A,N/A,3908,2501941,2022-11-18,Carlos Souza,6
CLI-00070,Cliente 70,00.100.000/0001-00,Zov,BPO RH,N/A,MEI,2382,6460295,2023-06-17,Maria Santos,6
CLI-00071,Cliente 71,00.100.000/0001-00,Mdias,Contabilidade,N/A,Lucro Presumido,1020,5360032,2023-05-10,João Silva,7
CLI-00072,Cliente 72,00.100.000/0001-00,Mdias,BPO RH,Contabilidade,Lucro Presumido,2319,1081201,2022-02-15,João Silva,3
CLI-00073,Cliente 73,00.100.000/0001-00,Zov,Legalização,N/A,Simples Nacional,7765,4025759,2022-05-07,Maria Santos,7
CLI-00074,Cliente 74,00.100.000/0001-00,Mdias,Certificado Digital,BPO RH,MEI,4535,7833228,2024-01-17,Carlos Souza,6
CLI-00075,Cliente 75,00.100.000/0001-00,Mdias,BPO RH,N/A,MEI,6999,5063305,2022-01-19,Ana Silva,2
CLI-00076,Cliente 76,00.100.000/0001-00,Papaya,Contabilidade,BPO Financeiro,MEI,413,1882038,2023-04-15,João Silva,3
CLI-00077,Cliente 77,00.100.000/0001-00,Papaya,Legalização,N/A,N/A,2664,4555886,2023-05-09,João Silva,3
CLI-00078,Cliente 78,00.100.000/0001-00,Mdias,Contabilidade,Certificado Digital,Lucro Real,1012,2291762,2022-06-20,João Silva,2
CLI-00079,Cliente 79,00.100.000/0001-00,Zov,Legalização,N/A,N/A,9008,390255,2024-05-05,Maria Santos,7
CLI-00080,Cliente 80,00.100.000/0001-00,Zov,Certificado Digital,N/A,Simples Nacional,3522,454045,2022-02-11,João Silva,7
CLI-00081,Cliente 81,00.100.000/0001-00,Mdias,BPO RH,N/A,Lucro Real,6456,5950524,2023-11-04,Ana Silva,5
CLI-00082,Cliente 82,00.100.000/0001-00,Mdias,BPO RH,N/A,N/A,2015,931894,2022-07-13,Maria Santos,1
CLI-00083,Cliente 83,00.100.000/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,8528,6179534,2024-06-27,Carlos Souza,4
CLI-00084,Cliente 84,00.100.000/0001-00,Mdias,Legalização,N/A,N/A,1707,3771344,2022-03-14,Maria Santos,5
CLI-00085,Cliente 85,00.100.000/0001-00,Zov,Contabilidade,N/A,Lucro Real,5479,7461395,2022-03-07,Carlos Souza,5
CLI-00086,Cliente 86,00.100.000/0001-00,Papaya,BPO RH,Certificado Digital,Lucro Presumido,2283,410909,2022-01-12,Maria Santos,8
CLI-00087,Cliente 87,00.100.000/0001-00,Mdias,BPO Financeiro,N/A,Lucro Presumido,4780,4142666,2023-10-24,Carlos Souza,2
CLI-00088,Cliente 88,00.100.000/0001-00,Zov,Legalização,N/A,Lucro Presumido,7559,3235260,2023-02-17,João Silva,1
CLI-00089,Cliente 89,00.100.000/0001-00,Zov,Certificado Digital,N/A,Lucro Presumido,7745,6004521,2024-11-08,Carlos Souza,7
CLI-00090,Cliente 90,00.100.000/0001-00,Zov,BPO RH,Certificado Digital,Simples Nacional,9220,3150645,2022-09-07,Ana Silva,4
CLI-00091,Cliente 91,00.100.000/0001-00,Mdias,Contabilidade,N/A,Simples Nacional,8132,223018,2023-05-01,Carlos Souza,7
CLI-00092,Cliente 92,00.100.000/0001-00,Mdias,Contabilidade,N/A,N/A,6684,3539323,2024-09-24,Ana Silva,8
CLI-00093,Cliente 93,00.100.000/0001-00,Mdias,BPO RH,Contabilidade,N/A,9159,3428649,2022-06-27,Carlos Souza,3
CLI-00094,Cliente 94,00.100.000/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,2561,4447568,2022-11-12,João Silva,4
CLI-00095,Cliente 95,00.100.000/0001-00,Mdias,Contabilidade,N/A,N/A,5846,2090760,2023-02-23,Maria Santos,1
CLI-00096,Cliente 96,00.100.000/0001-00,Papaya,Certificado Digital,N/A,MEI,9180,6894036,2022-12-06,Maria Santos,4
CLI-00097,Cliente 97,00.100.000/0001-00,Zov,Certificado Digital,Contabilidade,MEI,3897,145922,2023-09-17,Ana Silva,1
CLI-00098,Cliente 98,00.100.000/0001-00,Papaya,BPO Financeiro,N/A,N/A,9060,5302566,2024-01-02,Carlos Souza,10
CLI-00099,Cliente 99,00.100.000/0001-00,Papaya,Contabilidade,N/A,Lucro Presumido,8015,4087505,2023-11-15,Carlos Souza,9
CLI-00100,Cliente 100,00.100.001/0001-00,Mdias,BPO Financeiro,N/A,Simples Nacional,6548,6931011,2023-02-25,João Silva,2
CLI-00101,Cliente 101,00.100.001/0001-00,Mdias,Contabilidade,N/A,N/A,7900,5587890,2022-01-27,Ana Silva,2
CLI-00102,Cliente 102,00.100.001/0001-00,Papaya,BPO RH,BPO Financeiro,Simples Nacional,701,4817017,2024-09-15,Maria Santos,7
CLI-00103,Cliente 103,00.100.001/0001-00,Mdias,Contabilidade,Certificado Digital,Lucro Presumido,8361,1703941,2024-04-11,Maria Santos,0
CLI-00104,Cliente 104,00.100.001/0001-00,Mdias,BPO Financeiro,Legalização,MEI,3741,2191540,2023-11-11,Maria Santos,1
CLI-00105,Cliente 105,00.100.001/0001-00,Mdias,Contabilidade,N/A,Simples Nacional,3309,5554445,2022-10-13,Carlos Souza,4
CLI-00106,Cliente 106,00.100.001/0001-00,Mdias,BPO RH,BPO Financeiro,Lucro Presumido,3475,4294143,2024-09-12,João Silva,3
CLI-00107,Cliente 107,00.100.001/0001-00,Mdias,Legalização,Contabilidade,Lucro Presumido,5565,3726776,2022-07-10,Carlos Souza,4
CLI-00108,Cliente 108,00.100.001/0001-00,Zov,Certificado Digital,BPO Financeiro,Lucro Real,1999,7665118,2024-11-12,Ana Silva,9
CLI-00109,Cliente 109,00.100.001/0001-00,Mdias,BPO RH,N/A,Lucro Real,4816,2918846,2024-08-17,João Silva,2
CLI-00110,Cliente 110,00.100.001/0001-00,Mdias,BPO Financeiro,N/A,N/A,8200,3091126,2022-09-15,João Silva,7
CLI-00111,Cliente 111,00.100.001/0001-00,Zov,BPO RH,Certificado Digital,Lucro Presumido,3296,7287254,2022-11-20,João Silva,7
CLI-00112,Cliente 112,00.100.001/0001-00,Zov,BPO Financeiro,N/A,Simples Nacional,8912,3310108,2024-06-27,Carlos Souza,9
CLI-00113,Cliente 113,00.100.001/0001-00,Zov,Legalização,N/A,Lucro Real,1663,1466176,2022-11-22,Ana Silva,1
CLI-00114,Cliente 114,00.100.001/0001-00,Zov,Contabilidade,N/A,Simples Nacional,803,4564771,2022-04-18,Carlos Souza,0
CLI-00115,Cliente 115,00.100.001/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,6904,2491497,2022-05-20,Ana Silva,9
CLI-00116,Cliente 116,00.100.001/0001-00,Zov,BPO Financeiro,N/A,MEI,3964,4897656,2022-07-20,João Silva,4
CLI-00117,Cliente 117,00.100.001/0001-00,Mdias,Contabilidade,N/A,Lucro Real,3446,1220145,2023-04-21,Carlos Souza,5
CLI-00118,Cliente 118,00.100.001/0001-00,Mdias,Certificado Digital,Contabilidade,MEI,9135,5666879,2022-03-01,João Silva,8
CLI-00119,Cliente 119,00.100.001/0001-00,Papaya,BPO Financeiro,BPO RH,N/A,8547,4940266,2024-09-13,Carlos Souza,9
CLI-00120,Cliente 120,00.100.001/0001-00,Mdias,BPO RH,Legalização,Simples Nacional,1584,7360829,2024-02-05,Ana Silva,5
CLI-00121,Cliente 121,00.100.001/0001-00,Zov,Legalização,Contabilidade,Lucro Presumido,3043,3547585,2024-11-12,Maria Santos,2
CLI-00122,Cliente 122,00.100.001/0001-00,Papaya,Contabilidade,N/A,N/A,7533,6614594,2024-09-08,João Silva,7
CLI-00123,Cliente 123,00.100.001/0001-00,Zov,BPO Financeiro,Contabilidade,MEI,5280,7501950,2022-07-12,Ana Silva,1
CLI-00124,Cliente 124,00.100.001/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,4291,2265060,2023-10-01,Maria Santos,5
CLI-00125,Cliente 125,00.100.001/0001-00,Papaya,Legalização,N/A,Lucro Presumido,7378,6529304,2024-01-05,Ana Silva,1
CLI-00126,Cliente 126,00.100.001/0001-00,Zov,Contabilidade,N/A,N/A,4780,5441640,2023-05-02,Ana Silva,9
CLI-00127,Cliente 127,00.100.001/0001-00,Zov,Contabilidade,N/A,Lucro Real,5639,5012263,2024-06-24,Maria Santos,4
CLI-00128,Cliente 128,00.100.001/0001-00,Papaya,Legalização,BPO Financeiro,Simples Nacional,3416,2230996,2024-06-15,Carlos Souza,9
CLI-00129,Cliente 129,00.100.001/0001-00,Papaya,Contabilidade,N/A,Lucro Real,4571,5625009,2022-03-21,João Silva,8
CLI-00130,Cliente 130,00.100.001/0001-00,Zov,Contabilidade,BPO Financeiro,Lucro Presumido,5415,6667764,2024-09-10,João Silva,6
CLI-00131,Cliente 131,00.100.001/0001-00,Zov,BPO RH,Legalização,Simples Nacional,6159,6454245,2024-07-28,Maria Santos,9
CLI-00132,Cliente 132,00.100.001/0001-00,Mdias,BPO Financeiro,BPO RH,Simples Nacional,1058,3650541,2022-07-14,João Silva,8
CLI-00133,Cliente 133,00.100.001/0001-00,Papaya,BPO Financeiro,N/A,N/A,4338,556197,2024-02-17,Carlos Souza,1
CLI-00134,Cliente 134,00.100.001/0001-00,Mdias,Legalização,BPO RH,N/A,5047,7226469,2022-01-26,Ana Silva,5
CLI-00135,Cliente 135,00.100.001/0001-00,Papaya,BPO RH,BPO Financeiro,Lucro Real,2036,5300259,2024-09-04,João Silva,6
CLI-00136,Cliente 136,00.100.001/0001-00,Papaya,Legalização,Certificado Digital,N/A,8258,6699569,2022-12-22,João Silva,9
CLI-00137,Cliente 137,00.100.001/0001-00,Mdias,Contabilidade,BPO Financeiro,Lucro Real,2936,2343015,2022-12-08,João Silva,4
CLI-00138,Cliente 138,00.100.001/0001-00,Zov,Contabilidade,N/A,N/A,7768,4970337,2023-04-26,Ana Silva,4
CLI-00139,Cliente 139,00.100.001/0001-00,Papaya,Certificado Digital,N/A,Lucro Presumido,1563,7698756,2024-07-20,Maria Santos,3
CLI-00140,Cliente 140,00.100.001/0001-00,Papaya,Legalização,Contabilidade,N/A,7531,2913067,2023-09-14,Carlos Souza,7
CLI-00141,Cliente 141,00.100.001/0001-00,Zov,Contabilidade,Legalização,Simples Nacional,2476,6653515,2022-11-07,Carlos Souza,7
CLI-00142,Cliente 142,00.100.001/0001-00,Papaya,Contabilidade,N/A,MEI,3803,1924978,2024-11-17,Ana Silva,2
CLI-00143,Cliente 143,00.100.001/0001-00,Papaya,BPO RH,Contabilidade,Lucro Real,4805,6422722,2024-10-22,João Silva,5
CLI-00144,Cliente 144,00.100.001/0001-00,Papaya,BPO Financeiro,N/A,MEI,4671,2006793,2024-09-28,Ana Silva,4
CLI-00145,Cliente 145,00.100.001/0001-00,Papaya,BPO RH,Contabilidade,Lucro Presumido,1709,6480574,2024-01-18,Ana Silva,1
CLI-00146,Cliente 146,00.100.001/0001-00,Zov,BPO Financeiro,BPO RH,Lucro Presumido,8567,5543968,2023-03-15,Ana Silva,9
CLI-00147,Cliente 147,00.100.001/0001-00,Zov,BPO Financeiro,N/A,N/A,2493,1003520,2022-04-23,Maria Santos,6
CLI-00148,Cliente 148,00.100.001/0001-00,Papaya,Legalização,N/A,Lucro Real,6275,5946659,2023-11-19,Ana Silva,3
CLI-00149,Cliente 149,00.100.001/0001-00,Zov,BPO RH,BPO Financeiro,MEI,1163,1869514,2024-04-07,Maria Santos,5
CLI-00150,Cliente 150,00.100.001/0001-00,Zov,Legalização,BPO RH,N/A,409,5673474,2022-10-15,Maria Santos,9
CLI-00151,Cliente 151,00.100.001/0001-00,Mdias,Legalização,BPO Financeiro,MEI,8924,100383,2023-06-01,Carlos Souza,5
CLI-00152,Cliente 152,00.100.001/0001-00,Mdias,BPO Financeiro,BPO RH,Lucro Real,522,1903098,2023-04-13,João Silva,7
CLI-00153,Cliente 153,00.100.001/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,2365,1198079,2022-09-22,João Silva,7
CLI-00154,Cliente 154,00.100.001/0001-00,Zov,Certificado Digital,N/A,MEI,3621,7552515,2024-04-28,Maria Santos,10
CLI-00155,Cliente 155,00.100.001/0001-00,Zov,BPO RH,Contabilidade,N/A,4627,3035636,2024-09-15,João Silva,3
CLI-00156,Cliente 156,00.100.001/0001-00,Papaya,BPO Financeiro,Contabilidade,Lucro Real,7994,5865660,2023-04-19,Ana Silva,3
CLI-00157,Cliente 157,00.100.001/0001-00,Mdias,Contabilidade,N/A,MEI,4568,2413349,2022-05-22,Maria Santos,9
CLI-00158,Cliente 158,00.100.001/0001-00,Zov,Contabilidade,N/A,N/A,3742,3567652,2022-01-04,Carlos Souza,8
CLI-00159,Cliente 159,00.100.001/0001-00,Papaya,BPO RH,Legalização,N/A,8730,7419340,2024-07-23,Ana Silva,7
CLI-00160,Cliente 160,00.100.001/0001-00,Mdias,Contabilidade,BPO Financeiro,N/A,5250,6534162,2024-10-18,Carlos Souza,6
CLI-00161,Cliente 161,00.100.001/0001-00,Mdias,BPO RH,N/A,Simples Nacional,5964,415598,2024-06-11,Carlos Souza,0
CLI-00162,Cliente 162,00.100.001/0001-00,Mdias,BPO RH,N/A,Lucro Real,7394,2128982,2022-11-06,Ana Silva,7
CLI-00163,Cliente 163,00.100.001/0001-00,Papaya,Certificado Digital,N/A,N/A,2755,4724535,2023-01-01,Carlos Souza,4
CLI-00164,Cliente 164,00.100.001/0001-00,Zov,Certificado Digital,N/A,N/A,5261,6492966,2022-04-08,Maria Santos,8
CLI-00165,Cliente 165,00.100.001/0001-00,Zov,Certificado Digital,Contabilidade,N/A,3001,4412610,2023-12-12,Maria Santos,7
CLI-00166,Cliente 166,00.100.001/0001-00,Papaya,BPO Financeiro,N/A,MEI,722,576233,2023-05-10,Carlos Souza,3
CLI-00167,Cliente 167,00.100.001/0001-00,Mdias,Legalização,N/A,Lucro Real,6008,2088442,2022-01-12,Carlos Souza,2
CLI-00168,Cliente 168,00.100.001/0001-00,Papaya,BPO RH,N/A,N/A,5229,987354,2023-10-25,Maria Santos,7
CLI-00169,Cliente 169,00.100.001/0001-00,Zov,Legalização,N/A,MEI,8770,2539053,2024-12-13,Ana Silva,3
CLI-00170,Cliente 170,00.100.001/0001-00,Mdias,Contabilidade,N/A,Lucro Real,3140,202014,2023-12-10,Maria Santos,6
CLI-00171,Cliente 171,00.100.001/0001-00,Mdias,Certificado Digital,Legalização,MEI,4585,4147961,2023-05-20,João Silva,5
CLI-00172,Cliente 172,00.100.001/0001-00,Mdias,Certificado Digital,N/A,Lucro Presumido,1881,4987333,2024-10-16,Ana Silva,4
CLI-00173,Cliente 173,00.100.001/0001-00,Papaya,Certificado Digital,N/A,Simples Nacional,4966,5725180,2023-03-08,Ana Silva,0
CLI-00174,Cliente 174,00.100.001/0001-00,Mdias,BPO Financeiro,BPO RH,Simples Nacional,1363,7042739,2022-07-09,João Silva,3
CLI-00175,Cliente 175,00.100.001/0001-00,Zov,Contabilidade,N/A,Simples Nacional,2599,7402008,2024-12-25,Ana Silva,5
CLI-00176,Cliente 176,00.100.001/0001-00,Zov,Certificado Digital,Legalização,N/A,476,767873,2022-08-02,João Silva,4
CLI-00177,Cliente 177,00.100.001/0001-00,Mdias,Legalização,BPO RH,Simples Nacional,7864,4345695,2024-01-05,Carlos Souza,10
CLI-00178,Cliente 178,00.100.001/0001-00,Papaya,Contabilidade,BPO RH,N/A,5171,5894618,2023-03-13,João Silva,6
CLI-00179,Cliente 179,00.100.001/0001-00,Zov,Certificado Digital,N/A,Lucro Real,3579,1489756,2022-09-15,Ana Silva,4
CLI-00180,Cliente 180,00.100.001/0001-00,Mdias,Certificado Digital,Legalização,MEI,7940,2221977,2022-07-28,Ana Silva,3
CLI-00181,Cliente 181,00.100.001/0001-00,Mdias,BPO Financeiro,N/A,MEI,5270,7847517,2024-10-19,Carlos Souza,10
CLI-00182,Cliente 182,00.100.001/0001-00,Papaya,BPO Financeiro,Contabilidade,N/A,9218,897299,2022-01-19,Carlos Souza,10
CLI-00183,Cliente 183,00.100.001/0001-00,Zov,BPO Financeiro,Legalização,Lucro Presumido,8760,3860231,2024-02-17,Carlos Souza,1
CLI-00184,Cliente 184,00.100.001/0001-00,Papaya,BPO RH,N/A,Lucro Presumido,9017,4311851,2022-07-26,João Silva,3
CLI-00185,Cliente 185,00.100.001/0001-00,Zov,BPO RH,N/A,Lucro Real,6621,462741,2024-05-02,Ana Silva,4
CLI-00186,Cliente 186,00.100.001/0001-00,Zov,Contabilidade,N/A,Lucro Real,4361,5968887,2023-09-11,Maria Santos,0
CLI-00187,Cliente 187,00.100.001/0001-00,Mdias,Legalização,BPO Financeiro,Simples Nacional,3477,6538043,2022-07-25,João Silva,7
CLI-00188,Cliente 188,00.100.001/0001-00,Papaya,Certificado Digital,Legalização,Lucro Presumido,6456,4409496,2024-01-17,João Silva,7
CLI-00189,Cliente 189,00.100.001/0001-00,Zov,BPO Financeiro,N/A,Lucro Presumido,6943,6395068,2024-02-17,Carlos Souza,3
CLI-00190,Cliente 190,00.100.001/0001-00,Zov,Legalização,N/A,Simples Nacional,2385,317294,2022-11-23,Ana Silva,6
CLI-00191,Cliente 191,00.100.001/0001-00,Mdias,BPO Financeiro,N/A,Lucro Real,1127,1583918,2022-01-28,João Silva,1
CLI-00192,Cliente 192,00.100.001/0001-00,Papaya,Legalização,N/A,Lucro Real,7225,2793507,2022-02-21,João Silva,2
CLI-00193,Cliente 193,00.100.001/0001-00,Zov,BPO RH,N/A,Lucro Real,5727,6090121,2022-05-25,Ana Silva,0
CLI-00194,Cliente 194,00.100.001/0001-00,Papaya,Certificado Digital,BPO Financeiro,Simples Nacional,2042,5753004,2024-01-24,Carlos Souza,10
CLI-00195,Cliente 195,00.100.001/0001-00,Papaya,Certificado Digital,N/A,Lucro Presumido,7028,6952716,2023-02-23,Ana Silva,5
CLI-00196,Cliente 196,00.100.001/0001-00,Mdias,Legalização,N/A,Lucro Real,7185,6727817,2024-08-07,João Silva,6
