id,data_criacao,cliente,vendedor,servico,etapa,valor,origem,data_fechamento,motivo_perda
OP-00042,2024-01-12,Lead 00042,Pedro Costa,Certificado Digital,Prospecção,6764,Google Ads,2026-12-31,N/A
OP-00043,2024-10-05,Lead 00043,Mariana Lima,Tributário,Prospecção,7955,Evento,2026-12-31,N/A
OP-00044,2024-05-12,Lead 00044,Ana Silva,Contabilidade,Fechado Ganho,32091,Google Ads,2024-07-21,N/A
OP-00045,2024-04-22,Lead 00045,João Oliveira,Tributário,Proposta,29681,Outro,2026-12-31,N/A
OP-00046,2024-03-05,Lead 00046,Mariana Lima,Certificado Digital,Negociação,25060,Instagram,2026-12-31,N/A
OP-00047,2024-05-23,Lead 00047,João Oliveira,Certificado Digital,Fechado Ganho,10575,LinkedIn,2024-04-23,N/A
OP-00048,2024-05-06,Lead 00048,Bruna Rocha,Contabilidade,Negociação,20092,Indicação,2026-12-31,N/A
OP-00049,2024-01-16,Lead 00049,Ana Silva,Tributário,Fechado Perdido,16448,Facebook,2024-03-25,Concorrente
OP-00050,2024-08-10,Lead 00050,Pedro Costa,Certificado Digital,Qualificação,40569,Evento,2026-12-31,N/A
OP-00051,2024-03-23,Lead 00051,Bruna Rocha,Tributário,Prospecção,17386,Evento,2026-12-31,N/A
OP-00052,2024-06-06,Lead 00052,Pedro Costa,Contabilidade,Proposta,31812,Instagram,2026-12-31,N/A
OP-00053,2024-01-22,Lead 00053,Bruna Rocha,BPO Financeiro,Proposta,6192,Indicação,2026-12-31,N/A
OP-00054,2024-04-15,Lead 00054,Bruna Rocha,Legalização,Negociação,12404,Instagram,2026-12-31,N/A
OP-00055,2024-07-09,Lead 00055,Ana Silva,Tributário,Proposta,36189,LinkedIn,2026-12-31,N/A
OP-00056,2024-05-04,Lead 00056,Mariana Lima,Tributário,Prospecção,8816,Orgânico,2026-12-31,N/A
OP-00057,2024-01-28,Lead 00057,João Oliveira,Contabilidade,Fechado Ganho,19509,Google Ads,2024-01-16,N/A
OP-00058,2024-11-27,Lead 00058,João Oliveira,Certificado Digital,Proposta,3746,Evento,2026-12-31,N/A
OP-00059,2024-12-21,Lead 00059,Bruna Rocha,Contabilidade,Fechado Perdido,40782,Facebook,2024-12-22,Preço
OP-00060,2024-01-07,Lead 00060,Ana Silva,BPO RH,Prospecção,14074,Google Ads,2026-12-31,N/A
OP-00061,2024-03-01,Lead 00061,Mariana Lima,BPO RH,Qualificação,19028,Orgânico,2026-12-31,N/A
OP-00062,2024-09-24,Lead 00062,Bruna Rocha,BPO RH,Negociação,29927,Evento,2026-12-31,N/A
OP-00063,2024-07-27,Lead 00063,Mariana Lima,Certificado Digital,Prospecção,7347,Instagram,2026-12-31,N/A
OP-00064,2024-07-25,Lead 00064,Carlos Souza,Tributário,Prospecção,31539,Facebook,2026-12-31,N/A
OP-00065,2024-08-17,Lead 00065,João Oliveira,Certificado Digital,Fechado Perdido,17451,Facebook,2024-05-19,Preço
OP-00066,2024-06-24,Lead 00066,Carlos Souza,BPO RH,Negociação,12903,Outro,2026-12-31,N/A
OP-00067,2024-03-22,Lead 00067,Ana Silva,Certificado Digital,Proposta,12738,Outro,2026-12-31,N/A
OP-00068,2024-08-22,Lead 00068,Mariana Lima,BPO RH,Prospecção,8926,Indicação,2026-12-31,N/A
OP-00069,2024-03-27,Lead 00069,Pedro Costa,Contabilidade,Fechado Perdido,30082,Google Ads,2024-02-20,Concorrente
OP-00070,2024-08-15,Lead 00070,Carlos Souza,Tributário,Fechado Perdido,12610,Facebook,2024-09-23,Sem fit
OP-00071,2024-06-11,Lead 00071,Mariana Lima,Tributário,Prospecção,36796,Outro,2026-12-31,N/A
OP-00072,2024-01-05,Lead 00072,Ana Silva,BPO RH,Proposta,18253,Facebook,2026-12-31,N/A
OP-00073,2024-07-08,Lead 00073,Mariana Lima,BPO RH,Qualificação,15751,Instagram,2026-12-31,N/A
OP-00074,2024-08-17,Lead 00074,Mariana Lima,Legalização,Proposta,36166,Indicação,2026-12-31,N/A
OP-00075,2024-01-27,Lead 00075,Bruna Rocha,Certificado Digital,Proposta,26942,Instagram,2026-12-31,N/A
OP-00076,2024-03-22,Lead 00076,João Oliveira,Tributário,Prospecção,16770,Facebook,2026-12-31,N/A
OP-00077,2024-01-15,Lead 00077,Carlos Souza,Tributário,Qualificação,31684,Indicação,2026-12-31,N/A
OP-00078,2024-01-27,Lead 00078,João Oliveira,BPO RH,Negociação,34794,Orgânico,2026-12-31,N/A
OP-00079,2024-02-06,Lead 00079,Bruna Rocha,BPO Financeiro,Qualificação,14733,Google Ads,2026-12-31,N/A
OP-00080,2024-07-23,Lead 00080,Carlos Souza,Contabilidade,Qualificação,10616,Evento,2026-12-31,N/A
OP-00081,2024-06-23,Lead 00081,Bruna Rocha,Contabilidade,Fechado Ganho,19230,Instagram,2024-05-20,N/A
OP-00082,2024-06-02,Lead 00082,Carlos Souza,Contabilidade,Qualificação,36117,Indicação,2026-12-31,N/A
OP-00083,2024-05-10,Lead 00083,Carlos Souza,Contabilidade,Fechado Perdido,7267,Orgânico,2024-07-08,Concorrente
OP-00084,2024-11-24,Lead 00084,João Oliveira,Tributário,Proposta,5159,Facebook,2026-12-31,N/A
OP-00085,2024-08-16,Lead 00085,Mariana Lima,Tributário,Negociação,10836,LinkedIn,2026-12-31,N/A
OP-00086,2024-09-16,Lead 00086,Ana Silva,Certificado Digital,Fechado Ganho,18548,Instagram,2024-03-19,N/A
OP-00087,2024-07-08,Lead 00087,Mariana Lima,Legalização,Qualificação,7069,Facebook,2026-12-31,N/A
OP-00088,2024-01-18,Lead 00088,Pedro Costa,Certificado Digital,Qualificação,9967,Indicação,2026-12-31,N/A
OP-00089,2024-02-24,Lead 00089,Ana Silva,Certificado Digital,Prospecção,23272,Indicação,2026-12-31,N/A
OP-00090,2024-04-20,Lead 00090,Mariana Lima,Tributário,Proposta,28694,LinkedIn,2026-12-31,N/A
OP-00091,2024-08-20,Lead 00091,Bruna Rocha,Contabilidade,Prospecção,24716,LinkedIn,2026-12-31,N/A
OP-00092,2024-11-05,Lead 00092,João Oliveira,Contabilidade,Proposta,26768,Indicação,2026-12-31,N/A
OP-00093,2024-07-25,Lead 00093,Mariana Lima,Certificado Digital,Fechado Ganho,9419,Evento,2024-12-14,N/A
OP-00094,2024-04-13,Lead 00094,Carlos Souza,Legalização,Negociação,1005,Outro,2026-12-31,N/A
OP-00095,2024-11-17,Lead 00095,Mariana Lima,Legalização,Fechado Perdido,39786,Indicação,2024-10-10,N/A
OP-00096,2024-10-08,Lead 00096,Mariana Lima,Tributário,Negociação,17682,Instagram,2026-12-31,N/A
OP-00097,2024-01-19,Lead 00097,João Oliveira,Legalização,Fechado Perdido,32708,Outro,2024-07-03,N/A
OP-00098,2024-06-08,Lead 00098,Mariana Lima,Certificado Digital,Negociação,12538,Instagram,2026-12-31,N/A
OP-00099,2024-01-24,Lead 00099,João Oliveira,Contabilidade,Negociação,10290,Outro,2026-12-31,N/A
OP-00100,2024-07-25,Lead 00100,Mariana Lima,Legalização,Negociação,31672,Facebook,2026-12-31,N/A
OP-00101,2024-09-21,Lead 00101,Carlos Souza,BPO RH,Fechado Perdido,5351,Facebook,2024-02-11,Preço
OP-00102,2024-04-18,Lead 00102,Pedro Costa,Tributário,Fechado Perdido,17043,Indicação,2024-03-26,Timing
OP-00103,2024-01-25,Lead 00103,Ana Silva,Legalização,Proposta,31462,Orgânico,2026-12-31,N/A
OP-00104,2024-02-03,Lead 00104,Pedro Costa,Certificado Digital,Fechado Ganho,15990,Indicação,2024-04-01,N/A
OP-00105,2024-10-11,Lead 00105,Carlos Souza,BPO Financeiro,Fechado Perdido,19037,Evento,2024-08-06,N/A
OP-00106,2024-07-19,Lead 00106,Pedro Costa,Legalização,Proposta,20086,Indicação,2026-12-31,N/A
OP-00107,2024-03-28,Lead 00107,Ana Silva,BPO Financeiro,Negociação,21348,Indicação,2026-12-31,N/A
OP-00108,2024-03-07,Lead 00108,Pedro Costa,Legalização,Negociação,12576,Google Ads,2026-12-31,N/A
OP-00109,2024-09-04,Lead 00109,Ana Silva,BPO Financeiro,Prospecção,17752,Orgânico,2026-12-31,N/A
OP-00110,2024-09-13,Lead 00110,Ana Silva,BPO Financeiro,Negociação,826,Indicação,2026-12-31,N/A
OP-00111,2024-12-05,Lead 00111,Pedro Costa,BPO RH,Fechado Ganho,3676,Google Ads,2024-09-14,N/A
OP-00112,2024-11-21,Lead 00112,Ana Silva,Legalização,Fechado Perdido,1703,Orgânico,2024-06-10,Sem fit
OP-00113,2024-09-05,Lead 00113,João Oliveira,Contabilidade,Proposta,12347,Google Ads,2026-12-31,N/A
OP-00114,2024-02-07,Lead 00114,Pedro Costa,BPO RH,Qualificação,36073,Orgânico,2026-12-31,N/A
OP-00115,2024-04-05,Lead 00115,Bruna Rocha,Tributário,Fechado Ganho,14990,Instagram,2024-10-12,N/A
OP-00116,2024-04-18,Lead 00116,Carlos Souza,BPO RH,Proposta,3278,Facebook,2026-12-31,N/A
OP-00117,2024-10-07,Lead 00117,João Oliveira,Certificado Digital,Proposta,24128,Indicação,2026-12-31,N/A
OP-00118,2024-07-08,Lead 00118,Pedro Costa,Certificado Digital,Prospecção,20990,Google Ads,2026-12-31,N/A
OP-00119,2024-02-13,Lead 00119,Mariana Lima,Tributário,Fechado Perdido,10450,LinkedIn,2024-05-22,Preço
OP-00120,2024-05-04,Lead 00120,Pedro Costa,Certificado Digital,Negociação,39423,Indicação,2026-12-31,N/A
OP-00121,2024-10-06,Lead 00121,Pedro Costa,BPO Financeiro,Qualificação,30767,Instagram,2026-12-31,N/A
OP-00122,2024-01-01,Lead 00122,João Oliveira,Legalização,Qualificação,25654,Evento,2026-12-31,N/A
OP-00123,2024-04-17,Lead 00123,João Oliveira,Certificado Digital,Negociação,15529,Orgânico,2026-12-31,N/A
OP-00124,2024-07-17,Lead 00124,Bruna Rocha,Certificado Digital,Fechado Ganho,20831,Orgânico,2024-05-23,N/A
OP-00125,2024-07-16,Lead 00125,Mariana Lima,BPO RH,Prospecção,1289,LinkedIn,2026-12-31,N/A
OP-00126,2024-04-22,Lead 00126,João Oliveira,BPO RH,Fechado Ganho,24177,Google Ads,2024-11-25,N/A
OP-00127,2024-07-03,Lead 00127,Carlos Souza,BPO Financeiro,Qualificação,38571,Google Ads,2026-12-31,N/A
OP-00128,2024-10-06,Lead 00128,Pedro Costa,BPO RH,Fechado Ganho,25514,Orgânico,2024-09-09,N/A
OP-00129,2024-02-20,Lead 00129,Carlos Souza,BPO RH,Fechado Perdido,3555,Outro,2024-08-27,N/A
OP-00130,2024-08-08,Lead 00130,João Oliveira,BPO RH,Negociação,37425,Orgânico,2026-12-31,N/A
OP-00131,2024-10-19,Lead 00131,Mariana Lima,Legalização,Fechado Ganho,4332,Instagram,2024-09-17,N/A
OP-00132,2024-01-21,Lead 00132,Carlos Souza,Certificado Digital,Prospecção,27892,Outro,2026-12-31,N/A
OP-00133,2024-03-05,Lead 00133,Mariana Lima,Contabilidade,Proposta,32420,Outro,2026-12-31,N/A
OP-00134,2024-06-16,Lead 00134,João Oliveira,Tributário,Prospecção,10671,Evento,2026-12-31,N/A
OP-00135,2024-08-25,Lead 00135,Bruna Rocha,Contabilidade,Proposta,20700,Facebook,2026-12-31,N/A
OP-00136,2024-03-09,Lead 00136,Ana Silva,Contabilidade,Fechado Perdido,19086,Indicação,2024-05-21,Preço
OP-00137,2024-05-22,Lead 00137,Ana Silva,Contabilidade,Negociação,2081,Google Ads,2026-12-31,N/A
OP-00138,2024-07-17,Lead 00138,João Oliveira,Certificado Digital,Fechado Ganho,32846,Indicação,2024-09-27,N/A
OP-00139,2024-07-28,Lead 00139,Ana Silva,Certificado Digital,Fechado Perdido,16793,LinkedIn,2024-01-24,Concorrente
OP-00140,2024-06-05,Lead 00140,Mariana Lima,BPO Financeiro,Negociação,30825,Instagram,2026-12-31,N/A
OP-00141,2024-05-22,Lead 00141,Mariana Lima,Contabilidade,Proposta,1967,LinkedIn,2026-12-31,N/A
OP-00142,2024-07-15,Lead 00142,Pedro Costa,BPO RH,Fechado Perdido,14866,Facebook,2024-09-23,Preço
OP-00143,2024-05-05,Lead 00143,João Oliveira,Certificado Digital,Proposta,26595,Indicação,2026-12-31,N/A
OP-00144,2024-09-11,Lead 00144,Mariana Lima,Legalização,Qualificação,10737,Outro,2026-12-31,N/A
OP-00145,2024-09-20,Lead 00145,Bruna Rocha,Tributário,Qualificação,4161,Indicação,2026-12-31,N/A
OP-00146,2024-10-06,Lead 00146,Mariana Lima,Certificado Digital,Fechado Ganho,37635,Facebook,2024-10-05,N/A
OP-00147,2024-11-25,Lead 00147,Carlos Souza,BPO RH,Prospecção,21358,Instagram,2026-12-31,N/A
OP-00148,2024-06-17,Lead 00148,Bruna Rocha,BPO Financeiro,Negociação,13996,Instagram,2026-12-31,N/A
OP-00149,2024-06-27,Lead 00149,Mariana Lima,Contabilidade,Fechado Perdido,22186,Orgânico,2024-08-12,Sem fit
OP-00150,2024-03-18,Lead 00150,Mariana Lima,Certificado Digital,Fechado Perdido,21546,Orgânico,2024-10-06,Sem fit
OP-00151,2024-10-26,Lead 00151,João Oliveira,BPO RH,Negociação,11272,Facebook,2026-12-31,N/A
OP-00152,2024-08-01,Lead 00152,João Oliveira,Legalização,Fechado Ganho,18268,Indicação,2024-06-13,N/A
OP-00153,2024-08-15,Lead 00153,João Oliveira,Certificado Digital,Qualificação,17898,Google Ads,2026-12-31,N/A
OP-00154,2024-10-02,Lead 00154,João Oliveira,Certificado Digital,Qualificação,12856,Outro,2026-12-31,N/A
OP-00155,2024-02-14,Lead 00155,Ana Silva,Contabilidade,Fechado Ganho,3069,Google Ads,2024-03-05,N/A
OP-00156,2024-08-27,Lead 00156,Ana Silva,BPO RH,Fechado Ganho,6525,Indicação,2024-08-08,N/A
OP-00157,2024-12-12,Lead 00157,Mariana Lima,Certificado Digital,Qualificação,19463,Outro,2026-12-31,N/A
OP-00158,2024-02-11,Lead 00158,Carlos Souza,Certificado Digital,Fechado Ganho,36033,Indicação,2024-06-04,N/A
OP-00159,2024-06-21,Lead 00159,Bruna Rocha,BPO RH,Fechado Perdido,5667,Instagram,2024-12-28,Sem fit
OP-00160,2024-10-10,Lead 00160,Bruna Rocha,Certificado Digital,Fechado Perdido,33677,Google Ads,2024-07-03,Timing
OP-00161,2024-03-15,Lead 00161,Mariana Lima,BPO RH,Fechado Perdido,12668,Orgânico,2024-06-17,N/A
OP-00162,2024-11-28,Lead 00162,Bruna Rocha,Contabilidade,Qualificação,924,Google Ads,2026-12-31,N/A
OP-00163,2024-05-13,Lead 00163,Carlos Souza,BPO Financeiro,Negociação,39165,Instagram,2026-12-31,N/A
OP-00164,2024-07-22,Lead 00164,Ana Silva,Legalização,Fechado Ganho,25505,Outro,2024-07-14,N/A
OP-00165,2024-01-13,Lead 00165,João Oliveira,Legalização,Proposta,12064,Orgânico,2026-12-31,N/A
OP-00166,2024-02-15,Lead 00166,Pedro Costa,Contabilidade,Proposta,17569,Indicação,2026-12-31,N/A
OP-00167,2024-08-04,Lead 00167,Bruna Rocha,BPO RH,Qualificação,11625,Orgânico,2026-12-31,N/A
OP-00168,2024-01-07,Lead 00168,Carlos Souza,BPO RH,Proposta,18908,LinkedIn,2026-12-31,N/A
OP-00169,2024-11-14,Lead 00169,João Oliveira,BPO RH,Negociação,11464,Evento,2026-12-31,N/A
OP-00170,2024-12-16,Lead 00170,Mariana Lima,Tributário,Fechado Ganho,36925,Instagram,2024-03-02,N/A
OP-00171,2024-10-13,Lead 00171,João Oliveira,Contabilidade,Fechado Perdido,3773,Evento,2024-03-02,Preço
OP-00172,2024-01-08,Lead 00172,Mariana Lima,Certificado Digital,Negociação,10461,Evento,2026-12-31,N/A
OP-00173,2024-01-21,Lead 00173,Carlos Souza,BPO Financeiro,Fechado Perdido,36019,LinkedIn,2024-06-17,Concorrente
OP-00174,2024-05-06,Lead 00174,Mariana Lima,Certificado Digital,Qualificação,37601,Orgânico,2026-12-31,N/A
OP-00175,2024-09-18,Lead 00175,Bruna Rocha,Contabilidade,Fechado Perdido,7392,Facebook,2024-10-01,N/A
OP-00176,2024-06-17,Lead 00176,Bruna Rocha,Certificado Digital,Fechado Perdido,7601,Instagram,2024-07-25,Concorrente
OP-00177,2024-05-24,Lead 00177,Carlos Souza,Contabilidade,Negociação,28369,Instagram,2026-12-31,N/A
OP-00178,2024-05-27,Lead 00178,Mariana Lima,Legalização,Prospecção,22607,Indicação,2026-12-31,N/A
OP-00179,2024-11-21,Lead 00179,João Oliveira,Certificado Digital,Proposta,7714,Facebook,2026-12-31,N/A
OP-00180,2024-03-01,Lead 00180,Carlos Souza,Tributário,Proposta,29615,Orgânico,2026-12-31,N/A
OP-00181,2024-05-09,Lead 00181,Ana Silva,Tributário,Fechado Ganho,35941,Facebook,2024-07-17,N/A
OP-00182,2024-04-26,Lead 00182,Pedro Costa,Contabilidade,Negociação,20279,Facebook,2026-12-31,N/A
OP-00183,2024-09-19,Lead 00183,Pedro Costa,Contabilidade,Fechado Perdido,9049,Indicação,2024-04-20,Timing
OP-00184,2024-08-21,Lead 00184,João Oliveira,BPO RH,Negociação,36893,Orgânico,2026-12-31,N/A
OP-00185,2024-08-10,Lead 00185,Mariana Lima,BPO Financeiro,Negociação,32647,Facebook,2026-12-31,N/A
OP-00186,2024-05-02,Lead 00186,João Oliveira,Contabilidade,Qualificação,24686,Evento,2026-12-31,N/A
OP-00187,2024-08-01,Lead 00187,Bruna Rocha,Contabilidade,Proposta,913,Facebook,2026-12-31,N/A
OP-00188,2024-04-10,Lead 00188,Carlos Souza,Contabilidade,Proposta,13923,Indicação,2026-12-31,N/A
OP-00189,2024-02-28,Lead 00189,Carlos Souza,Legalização,Proposta,18605,Evento,2026-12-31,N/A
OP-00190,2024-07-10,Lead 00190,Ana Silva,BPO RH,Negociação,21460,Facebook,2026-12-31,N/A
OP-00191,2024-02-09,Lead 00191,Carlos Souza,Certificado Digital,Fechado Perdido,14291,Orgânico,2024-08-22,Concorrente
OP-00192,2024-06-15,Lead 00192,Bruna Rocha,Certificado Digital,Negociação,22819,LinkedIn,2026-12-31,N/A
OP-00193,2024-12-19,Lead 00193,João Oliveira,BPO Financeiro,Proposta,2523,Instagram,2026-12-31,N/A
OP-00194,2024-06-04,Lead 00194,João Oliveira,BPO Financeiro,Qualificação,12025,Outro,2026-12-31,N/A
OP-00195,2024-09-06,Lead 00195,Ana Silva,Certificado Digital,Fechado Ganho,9305,Indicação,2024-07-25,N/A
OP-00196,2024-05-11,Lead 00196,Mariana Lima,Tributário,Fechado Perdido,16658,Indicação,2024-09-03,Timing
OP-00197,2024-03-27,Lead 00197,Pedro Costa,BPO RH,Qualificação,2271,Facebook,2026-12-31,N/A
OP-00198,2024-08-07,Lead 00198,João Oliveira,BPO Financeiro,Prospecção,38539,Outro,2026-12-31,N/A
OP-00199,2024-04-04,Lead 00199,Carlos Souza,BPO Financeiro,Fechado Ganho,34689,Google Ads,2024-01-15,N/A
OP-00200,2024-09-27,Lead 00200,João Oliveira,BPO RH,Fechado Perdido,20236,Indicação,2024-12-07,Sem fit
OP-00201,2024-11-28,Lead 00201,João Oliveira,Certificado Digital,Prospecção,26773,Instagram,2026-12-31,N/A
OP-00202,2024-08-15,Lead 00202,Pedro Costa,Tributário,Fechado Perdido,2260,Orgânico,2024-06-05,Preço
OP-00203,2024-06-26,Lead 00203,Mariana Lima,Certificado Digital,Fechado Ganho,26488,Instagram,2024-04-14,N/A
OP-00204,2024-04-19,Lead 00204,Ana Silva,Tributário,Negociação,12229,Instagram,2026-12-31,N/A
OP-00205,2024-08-27,Lead 00205,Mariana Lima,BPO RH,Negociação,22744,LinkedIn,2026-12-31,N/A
OP-00206,2024-07-08,Lead 00206,Carlos Souza,BPO Financeiro,Fechado Ganho,17782,Orgânico,2024-09-04,N/A
OP-00207,2024-11-28,Lead 00207,Pedro Costa,BPO Financeiro,Qualificação,29575,Instagram,2026-12-31,N/A
OP-00208,2024-01-06,Lead 00208,Pedro Costa,BPO RH,Proposta,36622,Instagram,2026-12-31,N/A
OP-00209,2024-06-01,Lead 00209,Carlos Souza,Certificado Digital,Negociação,17957,Instagram,2026-12-31,N/A
OP-00210,2024-06-26,Lead 00210,Carlos Souza,BPO Financeiro,Fechado Ganho,2499,Outro,2024-05-27,N/A
OP-00211,2024-12-03,Lead 00211,Pedro Costa,Contabilidade,Prospecção,37403,LinkedIn,2026-12-31,N/A
OP-00212,2024-05-21,Lead 00212,Bruna Rocha,Legalização,Negociação,11404,Orgânico,2026-12-31,N/A
OP-00213,2024-03-27,Lead 00213,Ana Silva,Tributário,Prospecção,26215,Evento,2026-12-31,N/A
OP-00214,2024-10-19,Lead 00214,Pedro Costa,Legalização,Qualificação,5824,Evento,2026-12-31,N/A
OP-00215,2024-02-28,Lead 00215,Bruna Rocha,Contabilidade,Prospecção,38873,Instagram,2026-12-31,N/A
OP-00216,2024-11-26,Lead 00216,Mariana Lima,BPO RH,Proposta,1214,Indicação,2026-12-31,N/A
OP-00217,2024-06-25,Lead 00217,Mariana Lima,Tributário,Prospecção,20250,LinkedIn,2026-12-31,N/A
OP-00218,2024-06-02,Lead 00218,Bruna Rocha,Contabilidade,Fechado Ganho,3852,LinkedIn,2024-11-24,N/A
OP-00219,2024-07-21,Lead 00219,Ana Silva,Legalização,Proposta,18186,Orgânico,2026-12-31,N/A
OP-00220,2024-09-26,Lead 00220,Mariana Lima,Certificado Digital,Prospecção,32026,Indicação,2026-12-31,N/A
OP-00221,2024-09-24,Lead 00221,Ana Silva,Legalização,Qualificação,40421,Facebook,2026-12-31,N/A
OP-00222,2024-02-06,Lead 00222,Ana Silva,Legalização,Proposta,6602,Indicação,2026-12-31,N/A
OP-00223,2024-07-25,Lead 00223,Mariana Lima,Certificado Digital,Qualificação,2168,Evento,2026-12-31,N/A
OP-00224,2024-02-07,Lead 00224,Bruna Rocha,Certificado Digital,Fechado Perdido,25549,Indicação,2024-02-06,Preço
OP-00225,2024-09-20,Lead 00225,João Oliveira,Contabilidade,Fechado Perdido,9046,LinkedIn,2024-02-06,Sem fit
OP-00226,2024-12-09,Lead 00226,Mariana Lima,Legalização,Qualificação,31050,Evento,2026-12-31,N/A
OP-00227,2024-05-27,Lead 00227,Carlos Souza,Certificado Digital,Prospecção,19899,Orgânico,2026-12-31,N/A
OP-00228,2024-09-07,Lead 00228,Mariana Lima,Certificado Digital,Fechado Perdido,40454,Orgânico,2024-09-08,Timing
OP-00229,2024-05-19,Lead 00229,João Oliveira,Tributário,Qualificação,27420,Indicação,2026-12-31,N/A
