data_captacao,nome,origem,status,vendedor_atribuido
2024-10-08,Lead 75,Instagram - Conteúdo,Qualificado,N/A
2024-04-10,Lead 76,Orgânico - SEO,Em contato,N/A
2024-01-27,Lead 77,Evento - Workshop,Em contato,Carlos Souza
2024-01-09,Lead 78,Evento - Workshop,Qualificado,Ana Silva
2024-05-07,Lead 79,LinkedIn - BPO,Qualificado,N/A
2024-06-08,Lead 80,Instagram - Conteúdo,Novo,Carlos Souza
2024-01-22,Lead 81,Orgânico - SEO,Novo,N/A
2024-09-12,Lead 82,Evento - Workshop,Qualificado,Ana Silva
2024-02-08,Lead 83,Orgânico - SEO,Desqualificado,N/A
2024-06-04,Lead 84,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-06-17,Lead 85,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-07-02,Lead 86,Google Ads - Contabilidade PME,Qualificado,N/A
2024-07-22,Lead 87,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-03-05,Lead 88,Evento - Workshop,Convertido,N/A
2024-05-09,Lead 89,Google Ads - Contabilidade PME,Novo,N/A
2024-08-23,Lead 90,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-05-01,Lead 91,LinkedIn - BPO,Em contato,N/A
2024-05-24,Lead 92,Orgânico - SEO,Em contato,Ana Silva
2024-12-05,Lead 93,Instagram - Conteúdo,Desqualificado,N/A
2024-04-07,Lead 94,Orgânico - SEO,Qualificado,Ana Silva
2024-02-16,Lead 95,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-10-22,Lead 96,LinkedIn - BPO,Qualificado,N/A
2024-04-07,Lead 97,Instagram - Conteúdo,Desqualificado,N/A
2024-04-09,Lead 98,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-11-19,Lead 99,Instagram - Conteúdo,Em contato,Carlos Souza
2024-01-12,Lead 100,LinkedIn - BPO,Qualificado,N/A
2024-08-01,Lead 101,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-07-23,Lead 102,Orgânico - SEO,Convertido,Carlos Souza
2024-07-18,Lead 103,LinkedIn - BPO,Em contato,N/A
2024-11-05,Lead 104,Evento - Workshop,Convertido,Ana Silva
2024-09-13,Lead 105,Evento - Workshop,Convertido,Ana Silva
2024-09-16,Lead 106,Orgânico - SEO,Qualificado,Carlos Souza
2024-07-24,Lead 107,LinkedIn - BPO,Desqualificado,N/A
2024-12-17,Lead 108,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-08-24,Lead 109,Instagram - Conteúdo,Novo,Ana Silva
2024-09-27,Lead 110,Evento - Workshop,Desqualificado,Carlos Souza
2024-08-03,Lead 111,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-05-08,Lead 112,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-06-23,Lead 113,Evento - Workshop,Qualificado,N/A
2024-03-01,Lead 114,LinkedIn - BPO,Convertido,Ana Silva
2024-02-16,Lead 115,Orgânico - SEO,Qualificado,N/A
2024-09-05,Lead 116,Evento - Workshop,Novo,Ana Silva
2024-07-20,Lead 117,LinkedIn - BPO,Qualificado,Ana Silva
2024-01-26,Lead 118,Instagram - Conteúdo,Convertido,Carlos Souza
2024-10-07,Lead 119,Instagram - Conteúdo,Qualificado,N/A
2024-11-14,Lead 120,Orgânico - SEO,Qualificado,Ana Silva
2024-05-24,Lead 121,LinkedIn - BPO,Em contato,N/A
2024-02-05,Lead 122,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-07-22,Lead 123,LinkedIn - BPO,Desqualificado,N/A
2024-06-28,Lead 124,Google Ads - Contabilidade PME,Qualificado,N/A
2024-12-20,Lead 125,LinkedIn - BPO,Novo,N/A
2024-07-27,Lead 126,LinkedIn - BPO,Qualificado,Carlos Souza
2024-02-16,Lead 127,Instagram - Conteúdo,Desqualificado,N/A
2024-01-16,Lead 128,Evento - Workshop,Convertido,Ana Silva
2024-09-24,Lead 129,Evento - Workshop,Em contato,N/A
2024-07-24,Lead 130,Orgânico - SEO,Novo,N/A
2024-11-12,Lead 131,Evento - Workshop,Convertido,Ana Silva
2024-04-23,Lead 132,Instagram - Conteúdo,Em contato,Carlos Souza
2024-12-04,Lead 133,Instagram - Conteúdo,Desqualificado,Carlos Souza
2024-07-21,Lead 134,Instagram - Conteúdo,Qualificado,Ana Silva
2024-03-28,Lead 135,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-08-26,Lead 136,Evento - Workshop,Novo,Ana Silva
2024-03-18,Lead 137,Instagram - Conteúdo,Novo,N/A
2024-01-04,Lead 138,Evento - Workshop,Convertido,Carlos Souza
2024-12-08,Lead 139,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-02-01,Lead 140,LinkedIn - BPO,Qualificado,Carlos Souza
2024-03-07,Lead 141,Orgânico - SEO,Novo,Ana Silva
2024-12-27,Lead 142,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-02-02,Lead 143,Instagram - Conteúdo,Convertido,Carlos Souza
2024-11-05,Lead 144,Instagram - Conteúdo,Qualificado,Ana Silva
2024-10-23,Lead 145,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-02-09,Lead 146,Evento - Workshop,Desqualificado,Carlos Souza
2024-02-28,Lead 147,LinkedIn - BPO,Convertido,N/A
2024-11-27,Lead 148,Orgânico - SEO,Convertido,N/A
2024-10-16,Lead 149,Orgânico - SEO,Novo,Ana Silva
2024-01-10,Lead 150,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-05-04,Lead 151,Evento - Workshop,Qualificado,Ana Silva
2024-02-26,Lead 152,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-04-19,Lead 153,Evento - Workshop,Convertido,Ana Silva
2024-06-09,Lead 154,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-08-04,Lead 155,Instagram - Conteúdo,Novo,Ana Silva
2024-08-07,Lead 156,LinkedIn - BPO,Em contato,Ana Silva
2024-08-23,Lead 157,Orgânico - SEO,Desqualificado,N/A
2024-07-24,Lead 158,Evento - Workshop,Desqualificado,Ana Silva
2024-10-24,Lead 159,LinkedIn - BPO,Convertido,Carlos Souza
2024-04-01,Lead 160,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-11-17,Lead 161,Evento - Workshop,Desqualificado,Carlos Souza
2024-11-09,Lead 162,Evento - Workshop,Novo,Ana Silva
2024-10-10,Lead 163,LinkedIn - BPO,Qualificado,Ana Silva
2024-05-22,Lead 164,Instagram - Conteúdo,Novo,Ana Silva
2024-12-10,Lead 165,LinkedIn - BPO,Convertido,N/A
2024-10-12,Lead 166,Orgânico - SEO,Desqualificado,Carlos Souza
2024-03-12,Lead 167,Evento - Workshop,Desqualificado,Ana Silva
2024-03-01,Lead 168,Orgânico - SEO,Em contato,Ana Silva
2024-04-27,Lead 169,Evento - Workshop,Qualificado,Carlos Souza
2024-08-26,Lead 170,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-12-11,Lead 171,Orgânico - SEO,Convertido,N/A
2024-05-24,Lead 172,Orgânico - SEO,Desqualificado,Carlos Souza
2024-02-03,Lead 173,Orgânico - SEO,Convertido,Carlos Souza
2024-08-20,Lead 174,LinkedIn - BPO,Convertido,N/A
2024-09-04,Lead 175,Evento - Workshop,Novo,N/A
2024-06-28,Lead 176,Evento - Workshop,Desqualificado,Carlos Souza
2024-12-22,Lead 177,Orgânico - SEO,Desqualificado,N/A
2024-02-05,Lead 178,Google Ads - Contabilidade PME,Em contato,N/A
2024-08-17,Lead 179,Evento - Workshop,Desqualificado,Carlos Souza
2024-08-18,Lead 180,Orgânico - SEO,Qualificado,Carlos Souza
2024-08-09,Lead 181,Evento - Workshop,Novo,Ana Silva
2024-01-14,Lead 182,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-04-28,Lead 183,LinkedIn - BPO,Convertido,N/A
2024-12-14,Lead 184,Google Ads - Contabilidade PME,Novo,N/A
2024-11-22,Lead 185,LinkedIn - BPO,Em contato,Carlos Souza
2024-02-16,Lead 186,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-09-28,Lead 187,Evento - Workshop,Novo,Ana Silva
2024-08-21,Lead 188,LinkedIn - BPO,Qualificado,Carlos Souza
2024-11-12,Lead 189,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-04-28,Lead 190,Instagram - Conteúdo,Em contato,Carlos Souza
2024-04-01,Lead 191,LinkedIn - BPO,Convertido,Carlos Souza
2024-10-08,Lead 192,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-06-02,Lead 193,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-11-17,Lead 194,Orgânico - SEO,Novo,Ana Silva
2024-06-21,Lead 195,Instagram - Conteúdo,Novo,N/A
2024-04-17,Lead 196,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-10-01,Lead 197,Evento - Workshop,Convertido,Ana Silva
2024-01-25,Lead 198,Evento - Workshop,Em contato,Ana Silva
2024-12-06,Lead 199,Evento - Workshop,Desqualificado,Carlos Souza
2024-10-22,Lead 200,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-08-08,Lead 201,LinkedIn - BPO,Em contato,Carlos Souza
2024-08-10,Lead 202,Instagram - Conteúdo,Novo,Ana Silva
2024-04-17,Lead 203,Instagram - Conteúdo,Convertido,Ana Silva
2024-01-18,Lead 204,LinkedIn - BPO,Qualificado,Ana Silva
2024-07-27,Lead 205,LinkedIn - BPO,Novo,Carlos Souza
2024-02-13,Lead 206,Evento - Workshop,Qualificado,N/A
2024-07-02,Lead 207,LinkedIn - BPO,Convertido,Ana Silva
2024-09-08,Lead 208,Instagram - Conteúdo,Em contato,Carlos Souza
2024-09-13,Lead 209,Evento - Workshop,Novo,N/A
2024-02-24,Lead 210,Instagram - Conteúdo,Em contato,Ana Silva
2024-04-11,Lead 211,Evento - Workshop,Convertido,Ana Silva
2024-02-03,Lead 212,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-02-05,Lead 213,LinkedIn - BPO,Em contato,Ana Silva
2024-11-25,Lead 214,Instagram - Conteúdo,Desqualificado,N/A
2024-03-13,Lead 215,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-12-06,Lead 216,Orgânico - SEO,Desqualificado,Ana Silva
2024-03-12,Lead 217,Evento - Workshop,Em contato,N/A
2024-11-27,Lead 218,LinkedIn - BPO,Em contato,Carlos Souza
2024-10-15,Lead 219,Evento - Workshop,Convertido,N/A
2024-11-27,Lead 220,LinkedIn - BPO,Qualificado,Carlos Souza
2024-05-03,Lead 221,Evento - Workshop,Convertido,Carlos Souza
2024-05-09,Lead 222,Evento - Workshop,Em contato,Ana Silva
2024-03-10,Lead 223,Instagram - Conteúdo,Qualificado,N/A
2024-08-26,Lead 224,Orgânico - SEO,Convertido,Carlos Souza
2024-11-19,Lead 225,Google Ads - Contabilidade PME,Convertido,N/A
2024-02-19,Lead 226,Instagram - Conteúdo,Convertido,Ana Silva
2024-04-21,Lead 227,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-06-12,Lead 228,Evento - Workshop,Desqualificado,Ana Silva
2024-05-19,Lead 229,Evento - Workshop,Desqualificado,N/A
2024-09-20,Lead 230,Evento - Workshop,Em contato,N/A
2024-11-25,Lead 231,Instagram - Conteúdo,Qualificado,N/A
2024-09-14,Lead 232,Instagram - Conteúdo,Em contato,N/A
2024-03-20,Lead 233,Instagram - Conteúdo,Novo,Carlos Souza
2024-01-16,Lead 234,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-11-15,Lead 235,Orgânico - SEO,Qualificado,Ana Silva
2024-01-07,Lead 236,Evento - Workshop,Qualificado,Ana Silva
2024-03-22,Lead 237,Instagram - Conteúdo,Qualificado,Ana Silva
2024-12-10,Lead 238,Google Ads - Contabilidade PME,Qualificado,N/A
2024-11-05,Lead 239,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-10-08,Lead 240,Evento - Workshop,Qualificado,N/A
2024-10-10,Lead 241,Evento - Workshop,Desqualificado,Carlos Souza
2024-11-17,Lead 242,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-09-06,Lead 243,Instagram - Conteúdo,Em contato,Carlos Souza
2024-06-05,Lead 244,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-10-08,Lead 245,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-06-17,Lead 246,LinkedIn - BPO,Convertido,Carlos Souza
2024-08-10,Lead 247,Orgânico - SEO,Em contato,Ana Silva
2024-11-07,Lead 248,Google Ads - Contabilidade PME,Qualificado,Ana Silva
2024-09-04,Lead 249,LinkedIn - BPO,Em contato,N/A
2024-03-05,Lead 250,LinkedIn - BPO,Novo,Ana Silva
2024-12-14,Lead 251,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-03-21,Lead 252,Evento - Workshop,Qualificado,N/A
2024-05-22,Lead 253,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-03-24,Lead 254,Orgânico - SEO,Convertido,Carlos Souza
2024-01-22,Lead 255,Orgânico - SEO,Em contato,Ana Silva
2024-11-05,Lead 256,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-05-15,Lead 257,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-03-20,Lead 258,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-02-12,Lead 259,LinkedIn - BPO,Qualificado,Ana Silva
2024-05-03,Lead 260,Instagram - Conteúdo,Qualificado,N/A
2024-12-20,Lead 261,Orgânico - SEO,Em contato,N/A
2024-12-25,Lead 262,LinkedIn - BPO,Qualificado,Carlos Souza
2024-12-02,Lead 263,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-09-18,Lead 264,LinkedIn - BPO,Qualificado,Ana Silva
2024-06-20,Lead 265,LinkedIn - BPO,Qualificado,Ana Silva
2024-04-11,Lead 266,Google Ads - Contabilidade PME,Qualificado,N/A
2024-04-10,Lead 267,Orgânico - SEO,Qualificado,Carlos Souza
2024-12-25,Lead 268,LinkedIn - BPO,Desqualificado,N/A
2024-04-02,Lead 269,Evento - Workshop,Convertido,N/A
2024-12-19,Lead 270,Orgânico - SEO,Desqualificado,Ana Silva
2024-02-11,Lead 271,Instagram - Conteúdo,Em contato,Ana Silva
2024-01-21,Lead 272,Google Ads - Contabilidade PME,Em contato,N/A
2024-08-22,Lead 273,Orgânico - SEO,Convertido,Carlos Souza
2024-04-28,Lead 274,Orgânico - SEO,Qualificado,Carlos Souza
2024-06-24,Lead 275,Instagram - Conteúdo,Novo,Ana Silva
2024-12-12,Lead 276,Orgânico - SEO,Em contato,N/A
2024-01-26,Lead 277,Instagram - Conteúdo,Em contato,Ana Silva
2024-03-02,Lead 278,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-06-17,Lead 279,Instagram - Conteúdo,Novo,Ana Silva
2024-12-23,Lead 280,Google Ads - Contabilidade PME,Convertido,N/A
2024-01-19,Lead 281,Evento - Workshop,Desqualificado,Ana Silva
2024-12-18,Lead 282,Instagram - Conteúdo,Desqualificado,Carlos Souza
2024-01-25,Lead 283,Orgânico - SEO,Qualificado,N/A
2024-04-04,Lead 284,Orgânico - SEO,Qualificado,N/A
2024-09-01,Lead 285,Orgânico - SEO,Novo,Ana Silva
2024-01-12,Lead 286,Instagram - Conteúdo,Novo,N/A
2024-08-23,Lead 287,Evento - Workshop,Convertido,Ana Silva
2024-06-25,Lead 288,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-04-17,Lead 289,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-10-05,Lead 290,Google Ads - Contabilidade PME,Em contato,N/A
2024-01-22,Lead 291,LinkedIn - BPO,Em contato,N/A
2024-07-14,Lead 292,Orgânico - SEO,Qualificado,Ana Silva
2024-10-16,Lead 293,Evento - Workshop,Desqualificado,Carlos Souza
2024-08-24,Lead 294,Instagram - Conteúdo,Em contato,N/A
2024-10-15,Lead 295,Instagram - Conteúdo,Qualificado,Ana Silva
2024-02-20,Lead 296,Evento - Workshop,Desqualificado,N/A
2024-12-25,Lead 297,Evento - Workshop,Novo,Ana Silva
2024-04-08,Lead 298,Evento - Workshop,Em contato,Ana Silva
2024-04-14,Lead 299,LinkedIn - BPO,Novo,Ana Silva
2024-12-04,Lead 300,Evento - Workshop,Novo,N/A
2024-08-25,Lead 301,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-02-12,Lead 302,LinkedIn - BPO,Novo,Ana Silva
2024-01-10,Lead 303,Orgânico - SEO,Novo,N/A
2024-07-28,Lead 304,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-07-21,Lead 305,Instagram - Conteúdo,Novo,Ana Silva
2024-03-24,Lead 306,LinkedIn - BPO,Desqualificado,Ana Silva
2024-10-27,Lead 307,LinkedIn - BPO,Convertido,N/A
2024-12-09,Lead 308,Instagram - Conteúdo,Em contato,Ana Silva
2024-07-07,Lead 309,Instagram - Conteúdo,Em contato,N/A
2024-08-07,Lead 310,Orgânico - SEO,Novo,Carlos Souza
2024-08-09,Lead 311,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-11-07,Lead 312,Evento - Workshop,Em contato,Ana Silva
2024-05-03,Lead 313,Evento - Workshop,Qualificado,Ana Silva
2024-08-14,Lead 314,Evento - Workshop,Em contato,N/A
2024-02-03,Lead 315,LinkedIn - BPO,Em contato,Carlos Souza
2024-06-17,Lead 316,Evento - Workshop,Desqualificado,N/A
2024-09-25,Lead 317,LinkedIn - BPO,Desqualificado,N/A
2024-09-25,Lead 318,Evento - Workshop,Qualificado,Carlos Souza
2024-01-18,Lead 319,LinkedIn - BPO,Desqualificado,Ana Silva
2024-03-11,Lead 320,Google Ads - Contabilidade PME,Convertido,N/A
2024-06-15,Lead 321,Instagram - Conteúdo,Qualificado,Ana Silva
2024-05-17,Lead 322,LinkedIn - BPO,Novo,N/A
2024-12-16,Lead 323,Evento - Workshop,Convertido,Carlos Souza
2024-10-04,Lead 324,Instagram - Conteúdo,Convertido,Ana Silva
2024-03-22,Lead 325,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-09-15,Lead 326,Evento - Workshop,Em contato,Ana Silva
2024-11-05,Lead 327,Instagram - Conteúdo,Convertido,Carlos Souza
2024-06-08,Lead 328,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-09-07,Lead 329,Evento - Workshop,Em contato,Carlos Souza
2024-07-14,Lead 330,Instagram - Conteúdo,Qualificado,Ana Silva
2024-07-25,Lead 331,Instagram - Conteúdo,Em contato,Ana Silva
2024-11-22,Lead 332,Orgânico - SEO,Convertido,Carlos Souza
2024-09-21,Lead 333,Instagram - Conteúdo,Novo,Carlos Souza
2024-12-22,Lead 334,Instagram - Conteúdo,Qualificado,Ana Silva
2024-06-09,Lead 335,Evento - Workshop,Novo,Carlos Souza
2024-03-27,Lead 336,Orgânico - SEO,Em contato,Carlos Souza
2024-07-03,Lead 337,Google Ads - Contabilidade PME,Qualificado,N/A
2024-07-02,Lead 338,Orgânico - SEO,Convertido,N/A
2024-06-01,Lead 339,Orgânico - SEO,Em contato,N/A
2024-01-02,Lead 340,Instagram - Conteúdo,Desqualificado,N/A
2024-09-15,Lead 341,Evento - Workshop,Novo,Ana Silva
2024-09-13,Lead 342,Evento - Workshop,Novo,N/A
2024-08-21,Lead 343,Instagram - Conteúdo,Em contato,Carlos Souza
2024-09-25,Lead 344,Orgânico - SEO,Em contato,Carlos Souza
2024-02-21,Lead 345,Evento - Workshop,Convertido,N/A
2024-03-16,Lead 346,Google Ads - Contabilidade PME,Convertido,N/A
2024-10-01,Lead 347,Orgânico - SEO,Qualificado,N/A
2024-08-27,Lead 348,Instagram - Conteúdo,Novo,N/A
2024-04-25,Lead 349,Orgânico - SEO,Desqualificado,Ana Silva
2024-01-02,Lead 350,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-07-02,Lead 351,Evento - Workshop,Em contato,Carlos Souza
2024-09-19,Lead 352,LinkedIn - BPO,Qualificado,Carlos Souza
2024-08-22,Lead 353,Instagram - Conteúdo,Convertido,Ana Silva
2024-09-24,Lead 354,Orgânico - SEO,Convertido,N/A
2024-11-17,Lead 355,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-01-14,Lead 356,Evento - Workshop,Novo,Carlos Souza
2024-08-22,Lead 357,LinkedIn - BPO,Novo,N/A
2024-04-06,Lead 358,Orgânico - SEO,Em contato,N/A
2024-04-01,Lead 359,Instagram - Conteúdo,Em contato,N/A
2024-10-02,Lead 360,Evento - Workshop,Desqualificado,Ana Silva
2024-01-26,Lead 361,LinkedIn - BPO,Em contato,N/A
2024-11-28,Lead 362,Google Ads - Contabilidade PME,Convertido,N/A
2024-06-21,Lead 363,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-03-02,Lead 364,Orgânico - SEO,Novo,N/A
2024-06-21,Lead 365,Orgânico - SEO,Qualificado,Ana Silva
2024-10-20,Lead 366,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-07-06,Lead 367,Orgânico - SEO,Em contato,N/A
2024-12-05,Lead 368,Orgânico - SEO,Convertido,N/A
2024-10-11,Lead 369,Evento - Workshop,Novo,Carlos Souza
2024-03-23,Lead 370,Orgânico - SEO,Convertido,Ana Silva
2024-07-14,Lead 371,Instagram - Conteúdo,Convertido,Carlos Souza
2024-11-22,Lead 372,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-05-28,Lead 373,LinkedIn - BPO,Convertido,Ana Silva
2024-05-15,Lead 374,Orgânico - SEO,Novo,Ana Silva
2024-08-05,Lead 375,LinkedIn - BPO,Convertido,Carlos Souza
2024-11-05,Lead 376,Instagram - Conteúdo,Qualificado,Ana Silva
2024-11-06,Lead 377,Orgânico - SEO,Novo,Carlos Souza
2024-02-09,Lead 378,Instagram - Conteúdo,Em contato,Ana Silva
2024-02-24,Lead 379,Orgânico - SEO,Desqualificado,N/A
2024-03-08,Lead 380,LinkedIn - BPO,Em contato,N/A
2024-01-03,Lead 381,LinkedIn - BPO,Qualificado,N/A
2024-07-21,Lead 382,LinkedIn - BPO,Qualificado,N/A
2024-06-17,Lead 383,Instagram - Conteúdo,Novo,Carlos Souza
2024-07-08,Lead 384,LinkedIn - BPO,Qualificado,Ana Silva
2024-06-16,Lead 385,Orgânico - SEO,Novo,Ana Silva
2024-06-27,Lead 386,LinkedIn - BPO,Novo,N/A
